id;login;password_hash;first_name;last_name;email;activated;lang_key;created_by;created_date;last_modified_by
1;admin;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Administrator;Administrator;admin@localhost;true;en;admin;1970-01-01 00:00:00;admin
2;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;true;pl;admin;1970-01-01 00:00:00;admin
3;manager;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Manager;Manager;manager@localhost;true;pl;admin;1970-01-01 00:00:00;admin
4;planner;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Planner;Planner;planner@localhost;true;pl;admin;1970-01-01 00:00:00;admin
5;akowalski;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Adam;Kowalski;akowalski@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
6;jkowalczyk;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Jacek;Kowalczyk;jkowalczyk@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
7;anowak;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Adam;Nowak;anowak@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
8;anowaczek;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Andrzej;Nowaczek;anowaczek@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
9;kkowal;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Katarzyna;Kowal;kkowal@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
10;mkowalski;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Mariusz;Kowalski;mkowalski@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
11;mnowacka;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Marzena;Nowacka;mnowacka@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
12;pnowacki;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Paweł;Nowacki;pnowacki@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
13;anowakowski;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Aleksander;Nowakowski;anowakowski@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
14;kkowalczyk;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Katarzyna;Kowalczyk;kkowalczyk@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
15;jnowy;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Justyna;Nowy;jnowy@geol.agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
16;snowa;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Stanisława;Nowa;snowa@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
17;gkowal;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Grzegorz;Kowal;gkowal@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
18;anowakowska;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Anna;Nowakowska;anowakowska@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
